ID	Type	Expression
7h8i	WFE	"\exists \mathit{Reaction} \exists \mathit{Inhibitor} (\mathrm{first\_order\_reaction?}(\mathit{Reaction}) \land \neg \mathrm{catalyst?}(\mathit{Inhibitor}) \rightarrow \mathrm{inhibited\_by?}(\mathit{Reaction}, \mathit{Inhibitor}))
9j0k	NLE	"A reactor exists that either isn't a continuous stirred-tank reactor (CSTR), or is suitable for all high pressure conditions."
9j0k	WFE	"\exists \mathit{Reactor} \forall \mathit{Condition} (\neg \mathrm{cstr?}(\mathit{Reactor}) \lor (\mathrm{high\_pressure?}(\mathit{Condition}) \rightarrow \mathrm{suitable\_for?}(\mathit{Reactor}, \mathit{Condition})))
0k1l	NLE	"Every non-elementary reaction is enhanced by some solid catalyst."
0k1l	WFE	"\forall \mathit{Reaction} \exists \mathit{Catalyst} (\neg \mathrm{elementary\_reaction?}(\mathit{Reaction}) \land (\mathrm{solid\_catalyst?}(\mathit{Catalyst}) \rightarrow \mathrm{enhanced\_by?}(\mathit{Reaction}, \mathit{Catalyst})))"
"1l2m"	NLE	"Some high-yield reaction produces products that contain no impurities."
"1l2m"	WFE	"\exists \mathit{Reaction} \forall \mathit{Product} \forall \mathit{Impurity} (\mathrm{high\_yield?}(\mathit{Reaction}) \rightarrow (\neg \mathrm{contains\_impurity?}(\mathit{Product}, \mathit{Impurity}) \land \mathrm{produces?}(\mathit{Reaction}, \mathit{Product})))"
"2m3n"	NLE	"All machines either aren't precision instruments, or they use a high-strength alloy component."
"2m3n"	WFE	"\forall \mathit{Machine} (\neg \mathrm{precision\_instrument?}(\mathit{Machine}) \lor \exists \mathit{Component} (\mathrm{high\_strength\_alloy?}(\mathit{Component}) \land \mathrm{uses?}(\mathit{Machine}, \mathit{Component})))"
"3n4o"	NLE	"All components are controlled by an assembly station through a compatible tool."
"3n4o"	WFE	"\forall \mathit{Component} \exists \mathit{AssemblyStation} \exists \mathit{Tool} (\mathrm{compatible?}(\mathit{Tool}, \mathit{Component}) \land \mathrm{uses\_tool?}(\mathit{AssemblyStation}, \mathit{Tool}, \mathit{Component}))"
"4o5p"	NLE	"All ductile materials are suitable for any non-casting manufacturing process."
"4o5p"	WFE	"\forall \mathit{Material} \forall \mathit{Process} (\mathrm{ductile?}(\mathit{Material}) \land \neg \mathrm{casting\_process?}(\mathit{Process}) \rightarrow \mathrm{suitable\_for?}(\mathit{Material}, \mathit{Process}))
"5p6q"	NLE	"Some structure either isn't a bridge, or it incorporates a reinforced steel beam."
"5p6q"	WFE	"\exists \mathit{Structure} \exists \mathit{Component} (\neg \mathrm{bridge?}(\mathit{Structure}) \lor (\mathrm{reinforced\_steel\_beam?}(\mathit{Component}) \land \mathrm{incorporates?}(\mathit{Structure}, \mathit{Component})))"
"6q7r"	NLE	"In a vibration-sensitive system, a vibration damper is used without replacing any standard component."
"6q7r"	WFE	"\forall \mathit{System} \forall \mathit{VibrationDamper} \forall \mathit{StandardComponent} (\mathrm{vibration\_sensitive?}(\mathit{System}) \rightarrow (\mathrm{vibration\_damper?}(\mathit{VibrationDamper}) \land \neg \mathrm{replaced\_by?}(\mathit{StandardComponent}, \mathit{VibrationDamper})))"
"7r8s"	NLE	"Some robots use tools without damaging any delicate component."
"7r8s"	WFE	"\exists \mathit{Robot} \exists \mathit{Tool} \forall \mathit{Component} (\mathrm{uses\_tool?}(\mathit{Robot}, \mathit{Tool}) \land \mathrm{delicate?}(\mathit{Component}) \rightarrow \neg \mathrm{damages?}(\mathit{Robot}, \mathit{Tool}, \mathit{Component}))"
"8s9t"	NLE	"Every machine either has a component it rarely maintains, or it needs frequent maintenance due to some high-wear component."
"8s9t"	WFE	"\forall \mathit{Machine} \exists \mathit{Component} (\neg \mathrm{requires\_maintenance?}(\mathit{Machine}, \mathit{Component}) \lor (\mathrm{high\_wear?}(\mathit{Component}) \rightarrow \mathrm{high\_maintenance\_frequency?}(\mathit{Machine})))"
"9t0u"	NLE	"Some high-compression engine is compatible with all non-high-octane fuels."
"9t0u"	WFE	"\exists \mathit{Engine} \forall \mathit{Fuel} (\neg \mathrm{high\_octane?}(\mathit{Fuel}) \land (\mathrm{high\_compression?}(\mathit{Engine}) \rightarrow \mathrm{compatible?}(\mathit{Engine}, \mathit{Fuel})))"
"0u1v"	NLE	"Automated quality control systems have blind spots for critical defects."
"0u1v"	WFE	"\forall \mathit{QualityControlSystem} \exists \mathit{CriticalDefect} \forall \mathit{Sensor} (\mathrm{automated?}(\mathit{QualityControlSystem}) \rightarrow (\mathrm{critical?}(\mathit{CriticalDefect}) \land \neg \mathrm{detects?}(\mathit{Sensor}, \mathit{CriticalDefect})))"
"1v2w"	NLE	"Some material is resistant to a load if it's a composite material or the load isn't tensile."
"1v2w"	WFE	"\exists \mathit{Material} \exists \mathit{Load} (\mathrm{composite?}(\mathit{Material}) \lor \neg \mathrm{tensile?}(\mathit{Load}) \rightarrow \mathrm{resistant\_to?}(\mathit{Material}, \mathit{Load}))"
"2w3x"	NLE	"All precision-machined components are suitable for non-high-temperature operating conditions."
"2w3x"	WFE	"\forall \mathit{Component} \forall \mathit{Condition} (\mathrm{precision\_machined?}(\mathit{Component}) \land \neg \mathrm{high\_temperature?}(\mathit{Condition}) \rightarrow \mathrm{suitable\_for?}(\mathit{Component}, \mathit{Condition}))"
"28d9"	WFE	"$\exists X \forall Y (\neg p?(Y) \land (q?(X) \rightarrow r?(X, Y)))$"
"5ea2"	WFE	"$\forall X \exists Y (\neg q?(X) \lor (p?(Y) \land r?(X, Y)))$"
"eb67"	WFE	"$\exists X \forall Y (p?(X) \land \neg q?(Y) \rightarrow r?(X, Y))$"
